SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,WIN,HOME,AVG_PTS_LAST_5
22020,2544,22000075,2021-01-01,LAL @ SAS,W,36,8,22,0.364,3,7,0.429,7,7,1.0,1,10,11,10,2,0,4,0,26,18,1,1,0,24.2
22020,2544,22000087,2021-01-03,LAL @ MEM,W,32,9,16,0.563,3,6,0.5,1,3,0.333,0,13,13,8,1,0,2,2,22,19,1,1,0,24.2
22020,2544,22000103,2021-01-05,LAL @ MEM,W,34,11,20,0.55,1,4,0.25,3,3,1.0,2,10,12,7,1,1,6,0,26,20,1,1,0,25.8
22020,2544,22000121,2021-01-07,LAL vs. SAS,L,35,8,15,0.533,4,7,0.571,7,11,0.636,0,6,6,12,0,0,4,3,27,-10,1,0,1,25.4
22020,2544,22000131,2021-01-08,LAL vs. CHI,W,34,11,21,0.524,0,5,0.0,6,8,0.75,0,7,7,7,0,0,4,1,28,9,1,1,1,25.8
22020,2544,22000146,2021-01-10,LAL @ HOU,W,30,7,15,0.467,1,6,0.167,3,6,0.5,1,6,7,7,1,1,2,2,18,10,1,1,0,24.2
22020,2544,22000161,2021-01-12,LAL @ HOU,W,29,10,20,0.5,4,9,0.444,2,4,0.5,1,7,8,5,0,1,5,0,26,15,1,1,0,25.0
22020,2544,22000170,2021-01-13,LAL @ OKC,W,27,9,20,0.45,5,8,0.625,3,4,0.75,0,6,6,7,0,0,2,2,26,14,1,1,0,25.0
22020,2544,22000187,2021-01-15,LAL vs. NOP,W,31,6,11,0.545,2,6,0.333,7,7,1.0,1,7,8,11,1,0,3,3,21,14,1,1,1,23.8
22020,2544,22000212,2021-01-18,LAL vs. GSW,L,38,6,16,0.375,2,7,0.286,5,8,0.625,0,5,5,5,1,0,5,1,19,-9,1,0,1,22.0
22020,2544,22000226,2021-01-21,LAL @ MIL,W,38,13,25,0.52,6,10,0.6,2,2,1.0,1,5,6,8,1,1,3,2,34,15,1,1,0,25.2
22020,2544,22000245,2021-01-23,LAL @ CHI,W,29,6,16,0.375,0,2,0.0,5,8,0.625,0,11,11,6,2,0,6,1,17,9,1,1,0,23.4
22020,2544,22000261,2021-01-25,LAL @ CLE,W,38,19,26,0.731,7,11,0.636,1,2,0.5,0,8,8,6,2,2,3,1,46,11,1,1,0,27.4
22020,2544,22000276,2021-01-27,LAL @ PHI,L,39,12,22,0.545,2,5,0.4,8,11,0.727,0,6,6,7,0,0,3,3,34,4,1,0,0,30.0
22020,2544,22000284,2021-01-28,LAL @ DET,L,36,8,19,0.421,4,8,0.5,2,3,0.667,2,5,7,10,1,0,2,2,22,-9,1,0,0,30.6
22020,2544,22000302,2021-01-30,LAL @ BOS,W,37,7,17,0.412,4,11,0.364,3,5,0.6,1,6,7,7,0,1,5,3,21,11,1,1,0,28.0
