OPPONENT,SEASON,TS%,PER,PTS,REB,AST,STL,BLK
DAL,2024-25,0.6060606060606061,17.0,18.0,10.0,8.0,1.0,0.0
DEN,2014-15,0.5217022161871909,12.0,22.0,8.0,8.0,0.5,1.5
DEN,2015-16,0.6463126712252489,15.0,33.5,8.5,6.5,1.0,0.5
DEN,2016-17,0.7008359792612837,14.5,22.5,5.5,8.5,1.0,0.0
DEN,2017-18,0.5965396026831785,20.5,32.0,9.0,12.5,1.5,0.0
DEN,2018-19,0.5455367391543626,13.0,24.333333333333332,8.333333333333334,6.666666666666667,2.0,1.0
DEN,2019-20,0.5601421775201199,14.0,28.666666666666668,6.333333333333333,11.666666666666666,0.0,0.6666666666666666
DEN,2020-21,0.5962591120239051,20.5,24.5,10.0,9.5,0.0,1.0
DEN,2021-22,0.4748338081671415,7.0,25.0,9.0,2.0,0.0,2.0
DEN,2022-23,0.5403856632393104,11.333333333333334,25.0,7.333333333333333,7.0,1.3333333333333333,0.0
DEN,2024-25,0.48846675712347354,8.0,18.0,6.0,7.0,3.0,0.0
DET,2014-15,0.4951928038520914,10.0,22.25,8.25,9.0,1.75,0.5
DET,2015-16,0.4919327818534094,8.333333333333334,20.666666666666668,7.666666666666667,5.333333333333333,1.3333333333333333,0.0
DET,2016-17,0.5997501236817672,16.666666666666668,22.0,9.333333333333334,8.333333333333334,0.3333333333333333,0.3333333333333333
DET,2017-18,0.638079957309231,16.25,23.75,5.75,9.0,0.75,0.5
DET,2019-20,0.4783599088838269,20.0,21.0,14.0,11.0,0.0,0.0
DET,2020-21,0.5552397175276671,15.0,27.5,6.0,10.5,2.5,0.0
DET,2021-22,0.6810868159973019,13.0,21.5,3.0,7.0,1.0,0.5
DET,2022-23,0.6635071090047393,16.0,35.0,5.0,5.0,1.0,0.0
DET,2024-25,0.6343339405619945,22.0,24.0,9.5,11.0,1.0,0.0
GSW,2014-15,0.6947890818858561,20.0,42.0,11.0,5.0,3.0,1.0
GSW,2015-16,0.4424291584760151,3.5,20.5,7.0,3.5,1.0,1.5
GSW,2016-17,0.5258019374505061,7.0,25.5,10.5,3.0,1.5,0.5
GSW,2017-18,0.565386960796556,7.0,26.0,7.0,6.0,1.5,2.0
GSW,2018-19,0.5743243243243243,15.0,17.0,13.0,5.0,1.0,0.0
GSW,2019-20,0.5448312870392906,14.5,22.5,7.0,11.5,1.0,0.5
GSW,2020-21,0.6190858421187723,11.333333333333334,20.0,7.0,6.666666666666667,1.0,0.6666666666666666
GSW,2021-22,0.6088340163926209,16.666666666666668,38.666666666666664,12.0,5.333333333333333,0.3333333333333333,0.6666666666666666
GSW,2022-23,0.43290904269424557,12.5,22.0,12.0,8.0,0.0,0.0
GSW,2024-25,0.5587965021491033,16.5,28.0,4.5,11.0,1.5,0.5
HOU,2014-15,0.4599129894344313,5.0,37.0,8.0,4.0,3.0,3.0
HOU,2015-16,0.5637982195845697,11.0,19.0,7.0,7.0,0.0,2.0
HOU,2016-17,0.6336404326094149,13.5,24.5,10.0,6.5,1.0,0.0
HOU,2017-18,0.5555762127859993,13.5,22.0,6.5,8.0,1.5,1.0
HOU,2018-19,0.5639354155266006,10.666666666666666,27.333333333333332,7.333333333333333,5.0,1.6666666666666667,0.6666666666666666
HOU,2019-20,0.5141704913804725,16.0,24.5,7.0,13.5,2.0,0.0
HOU,2020-21,0.548904493304171,11.0,22.0,7.5,6.0,0.5,1.0
HOU,2021-22,0.5320673397820461,17.75,25.0,8.75,10.25,2.0,1.75
HOU,2022-23,0.6221212910276057,23.5,33.0,9.0,10.0,0.0,0.5
HOU,2024-25,0.6194690265486726,24.0,21.0,13.0,9.0,1.0,0.0
IND,2014-15,0.5144616381514963,6.333333333333333,24.333333333333332,5.0,5.666666666666667,1.0,0.3333333333333333
IND,2015-16,0.538186664532979,8.0,28.666666666666668,7.666666666666667,4.666666666666667,1.3333333333333333,0.3333333333333333
IND,2016-17,0.6807323498005534,19.0,32.333333333333336,8.333333333333334,8.0,1.3333333333333333,0.6666666666666666
IND,2017-18,0.6111553374474589,18.25,28.75,8.5,10.25,2.5,1.25
IND,2018-19,0.6344081291514538,14.5,28.0,8.0,8.0,1.5,0.0
IND,2019-20,0.4987246295166111,10.5,25.5,8.5,8.0,0.0,0.5
IND,2020-21,0.5083514887436456,8.0,21.0,5.0,9.0,0.5,0.0
IND,2021-22,0.5891628217099569,15.0,34.5,8.5,5.5,1.5,1.0
IND,2022-23,0.5499340667570741,11.0,23.5,7.0,5.0,0.5,0.0
LAC,2014-15,0.610635976489635,11.0,27.5,7.0,8.0,2.0,0.0
LAC,2015-16,0.6522202174008713,16.0,24.5,5.5,8.5,0.5,0.0
LAC,2016-17,0.41612483745123535,-2.0,16.0,5.0,5.0,2.0,0.0
LAC,2017-18,0.6419416904103541,20.5,32.0,12.0,6.0,1.0,1.5
LAC,2018-19,0.5217301660689517,13.0,25.5,11.0,7.5,1.0,0.5
LAC,2019-20,0.4669015333030021,12.25,21.25,9.5,8.5,1.0,1.25
LAC,2020-21,0.5412054120541205,4.0,22.0,5.0,5.0,0.0,0.0
LAC,2021-22,0.5020939726729033,7.666666666666667,23.333333333333332,10.0,4.333333333333333,1.0,0.6666666666666666
LAC,2022-23,0.6504728242436058,19.75,32.25,8.5,6.25,1.5,1.0
LAC,2024-25,0.5470459518599562,14.0,25.0,5.0,11.0,3.0,1.0
LAL,2014-15,0.6078030183795884,12.0,29.0,7.0,6.5,1.5,0.0
LAL,2015-16,0.5726652552340625,14.5,26.5,6.0,9.0,0.5,1.0
LAL,2016-17,0.6093281931893091,15.0,30.0,6.5,8.0,1.5,1.0
LAL,2017-18,0.5318695047497819,17.0,24.5,11.0,9.5,1.5,1.5
MEM,2014-15,0.6459980441880895,12.5,22.5,4.5,8.0,0.0,0.5
MEM,2015-16,0.5060568086883876,9.0,20.0,8.0,5.0,2.0,0.0
MEM,2016-17,0.5528846153846154,9.0,23.0,6.0,8.0,3.0,0.0
MEM,2017-18,0.5808540123857779,17.5,26.0,8.0,11.5,0.5,0.5
MEM,2018-19,0.5463522822013388,16.0,22.0,11.333333333333334,9.0,2.0,0.3333333333333333
MEM,2019-20,0.5973196531619147,11.0,26.0,4.75,7.25,0.75,1.0
MEM,2020-21,0.6282319886148651,18.0,25.333333333333332,11.333333333333334,7.666666666666667,1.3333333333333333,0.3333333333333333
MEM,2021-22,0.6472863065194637,21.5,27.75,9.5,7.75,2.0,1.5
MEM,2022-23,0.4727646454265159,11.0,23.0,9.0,6.0,2.0,2.0
MEM,2024-25,0.63579360090988,19.0,30.666666666666668,9.0,9.333333333333334,1.0,0.6666666666666666
MIA,2014-15,0.5681854309903533,7.5,24.25,5.75,6.5,0.5,0.75
MIA,2015-16,0.6641812865497077,10.5,27.5,4.0,3.5,1.0,0.0
MIA,2016-17,0.5628006100183788,18.5,28.5,12.5,7.0,2.0,0.5
MIA,2017-18,0.5122085748463533,10.0,21.0,9.666666666666666,6.0,2.0,0.3333333333333333
MIA,2018-19,0.6636609005030059,21.5,39.5,8.5,7.5,1.5,0.5
MIA,2019-20,0.6061702373087532,13.5,26.5,6.5,9.0,0.5,0.0
MIA,2020-21,0.4148471615720524,9.0,19.0,9.0,9.0,1.0,1.0
MIA,2021-22,0.6060606060606061,14.0,33.0,11.0,4.0,2.0,0.0
MIA,2022-23,0.6625766871165644,13.0,27.0,9.0,6.0,0.0,0.0
MIA,2024-25,0.7091491942470975,17.5,25.5,5.0,8.5,1.5,0.0
MIL,2014-15,0.6102097279124434,12.666666666666666,25.0,8.0,8.0,2.0,0.6666666666666666
MIL,2015-16,0.6718695055580233,13.5,26.75,8.0,7.0,0.75,1.25
MIL,2016-17,0.6273480621707388,13.75,27.25,8.75,5.75,0.25,0.25
MIL,2017-18,0.6809453263478733,18.75,33.25,6.5,8.5,2.25,1.0
MIL,2018-19,0.6526315789473685,17.0,31.0,7.0,10.0,1.0,0.0
MIL,2019-20,0.592046783625731,17.5,29.0,10.0,9.5,1.5,0.0
MIL,2020-21,0.6551059730250481,20.0,34.0,6.0,8.0,1.0,1.0
MIL,2021-22,0.645933014354067,13.0,27.0,5.0,8.0,0.0,0.0
MIL,2022-23,0.5008944543828265,20.0,28.0,8.0,11.0,2.0,0.0
MIN,2014-15,0.6390306122448979,12.5,30.0,5.0,4.0,0.5,2.0
MIN,2015-16,0.6143304534454628,17.0,19.0,8.0,8.5,1.0,1.5
MIN,2016-17,0.7605302709160275,24.0,26.0,8.0,13.0,1.0,0.5
MIN,2017-18,0.6683020983223823,23.0,23.5,9.0,10.0,0.5,1.5
MIN,2018-19,0.5590628050764725,19.0,26.5,10.5,8.5,1.0,2.0
MIN,2019-20,0.7637231503579952,23.0,32.0,4.0,13.0,1.0,0.0
MIN,2020-21,0.6665306566693981,19.333333333333332,24.333333333333332,11.333333333333334,8.0,0.3333333333333333,0.6666666666666666
MIN,2021-22,0.5233835738950828,8.333333333333334,21.0,7.333333333333333,4.666666666666667,1.6666666666666667,1.6666666666666667
MIN,2022-23,0.46710956593576813,10.0,23.0,8.5,5.5,2.5,1.0
MIN,2024-25,0.3824569137257229,2.0,13.0,6.5,4.0,0.0,1.0
NOP,2014-15,0.6877479073570655,17.0,36.5,8.0,7.0,0.5,1.0
NOP,2015-16,0.5853227790217288,11.5,32.0,5.0,8.0,1.0,0.5
NOP,2016-17,0.5362699792258447,13.0,26.0,8.5,9.0,2.0,0.5
NOP,2017-18,0.5903964729561355,14.0,22.5,6.0,9.5,0.5,0.0
NOP,2018-19,0.5755890090605686,20.333333333333332,27.333333333333332,8.333333333333334,12.0,2.6666666666666665,0.6666666666666666
NOP,2019-20,0.6341707286194918,20.5,30.0,8.25,11.25,1.5,0.5
NOP,2020-21,0.6388233012809545,14.5,23.0,4.5,8.5,2.0,0.0
NOP,2021-22,0.6486097031676062,12.333333333333334,36.333333333333336,7.666666666666667,4.0,1.0,1.0
NOP,2022-23,0.49180093669954167,8.666666666666666,22.666666666666668,8.333333333333334,6.666666666666667,0.0,1.0
NOP,2024-25,0.49122807017543857,4.0,21.0,7.0,5.0,1.0,0.0
NYK,2014-15,0.46525600211773804,4.666666666666667,18.0,5.666666666666667,7.666666666666667,1.3333333333333333,0.0
NYK,2015-16,0.5196666664772471,10.75,26.25,7.0,6.25,1.75,1.0
NYK,2016-17,0.6877763873087481,20.25,23.5,8.75,11.5,0.25,1.5
NYK,2017-18,0.5591046269199483,12.5,18.75,7.5,8.0,1.0,0.75
NYK,2018-19,0.5128205128205129,7.0,33.0,6.0,8.0,0.0,1.0
NYK,2019-20,0.6484357050934978,14.0,26.0,5.5,5.0,3.5,0.5
NYK,2021-22,0.5811623246492986,24.0,29.0,13.0,10.0,1.0,0.0
NYK,2022-23,0.4942630185348632,13.0,28.0,10.0,11.0,1.0,0.0
NYK,2024-25,0.5913978494623656,21.0,33.0,11.0,12.0,0.0,0.0
OKC,2014-15,0.545308740978348,9.0,34.0,7.0,5.0,1.0,2.0
OKC,2015-16,0.5459439059272206,15.5,29.0,8.0,11.0,2.5,0.0
OKC,2016-17,0.49504351217937514,13.5,21.5,9.5,7.5,1.5,1.0
OKC,2017-18,0.5714285714285714,11.0,27.5,5.5,7.5,0.0,1.0
OKC,2019-20,0.48490276688886547,12.333333333333334,22.333333333333332,9.333333333333334,9.333333333333334,1.3333333333333333,0.3333333333333333
OKC,2020-21,0.57958084533427,16.666666666666668,26.333333333333332,8.666666666666666,8.666666666666666,1.3333333333333333,0.6666666666666666
OKC,2021-22,0.7534246575342466,23.0,33.0,5.0,6.0,3.0,2.0
OKC,2022-23,0.7676767676767676,17.0,38.0,7.0,3.0,3.0,0.0
OKC,2024-25,0.43010752688172044,6.0,12.0,8.0,6.0,0.0,0.0
